Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.5,8194047196,126920,64560.7,10752.0,7584,4593554,122207.7,ncclDevKernel_AllReduce_Sum_f16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
20.2,5610674129,59760,93886.8,93920.0,92991,96320,467.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x1_tn_align8>(T1::Params)
7.7,2137014072,3360,636016.1,635875.0,634179,652127,1194.8,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_64x6_tn_align8>(T1::Params)
7.5,2091314945,3320,629914.1,629858.5,628191,632223,556.4,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
6.2,1719950436,29880,57561.9,57537.0,56928,61184,181.1,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_tn
6.0,1657259756,29880,55463.8,55425.0,54848,59488,248.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
3.3,918360256,59760,15367.5,14656.0,7872,46304,8239.7,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)"
2.1,595476378,13360,44571.6,7744.0,4960,4696850,138237.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
1.7,479918121,29880,16061.5,16000.0,15584,21312,281.2,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x6_tn
1.7,468931848,270,1736784.6,574193.0,474914,4784122,1702113.7,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)
