Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
44.6,120670325522,6640,18173241.8,18096624.5,17567857,26264839,478932.9,PushPop,:cloud_middle_decode
3.5,9458727777,360720,26221.8,25393.0,21134,2308635,5789.2,PushPop,NCCL:ncclAllReduce
2.5,6880091594,40,172002289.8,101641876.0,26535834,459221480,169195833.9,PushPop,:cloud_middle_prefill
0.9,2444779652,6680,365985.0,290596.5,227431,79862638,1921294.8,PushPop,:cloud_receive
0.4,1033007353,2,516503676.5,516503676.5,498225904,534781449,25848673.8,PushPop,:batch=c88207df67d24c4da42d45c8bcebc59c phase=prefill requests=04a26fdd847647a5a094bbafb63bc469
0.4,1032854543,2,516427271.5,516427271.5,502981694,529872849,19014918.1,PushPop,:batch=04999e5db17646f381f8d12e5ba42b89 phase=prefill requests=f613ba29e5e3458d8e63b0275b98ac68
0.4,1025759506,2,512879753.0,512879753.0,499631365,526128141,18736050.0,PushPop,:batch=67817480f9894f60bd669484733c604b phase=prefill requests=1811f6ebf58e4b0ea2292b35146cd35f
0.4,1021134332,2,510567166.0,510567166.0,499086565,522047767,16236021.6,PushPop,:batch=fec6ce2958354b9dad7bc35b9b7679d7 phase=prefill requests=5f8f2308efff494a9a6a2fa3d4ecc35c
0.4,1006147982,2,503073991.0,503073991.0,494049357,512098625,12762759.8,PushPop,:batch=1e7fcf524a0a4e98b5c9f0771b994b75 phase=prefill requests=612ab6a155ee43be83ea6696bd5b8b7f
0.1,372893668,13360,27911.2,29905.5,17372,113683,7377.7,PushPop,NCCL:ncclBroadcast
0.1,220939302,2,110469651.0,110469651.0,106644013,114295289,5410269.1,PushPop,:batch=c24738ca850d4c5b8100104b46fc6e47 phase=prefill requests=e6255778e8534404ac5ca8451b4d8752
0.1,220192463,2,110096231.5,110096231.5,108760098,111432365,1889578.1,PushPop,:batch=2218d27b6d73493383b5a51749d431ba phase=prefill requests=25de90a8b4234cdd9f459bf44de5f72b
0.1,218910926,2,109455463.0,109455463.0,106152156,112758770,4671581.6,PushPop,:batch=8a1c6d6e901047319a57f77f273a1e07 phase=prefill requests=7b15763fe2a348b4bded9b891807f3b3
0.1,217143520,2,108571760.0,108571760.0,104644271,112499249,5554308.2,PushPop,:batch=948fcdf7e01042f8a0d311c1871c21d1 phase=prefill requests=1d3635c1d1b8417da02febe5bb56858c
0.1,216580744,2,108290372.0,108290372.0,104577074,112003670,5251396.4,PushPop,:batch=d6fc10f48c114fd291c2d6b76b7878ff phase=prefill requests=1b90b5029a8e4095a0953f707b492bc0
