Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
21.6,98501324609,3320,29669073.7,29572560.5,28899207,38192379,581649.5,PushPop,:cloud_and_wan_wait_decode
6.6,30050216503,6640,4525635.0,4498996.5,4295694,9010415,173223.2,PushPop,:enterprise_back_decode
4.9,22202369759,6640,3343730.4,3327233.5,3154010,10531378,175345.0,PushPop,:enterprise_front_decode
1.5,6959559820,20,347977991.0,190134217.0,54843839,961587841,359867129.5,PushPop,:cloud_and_wan_wait_prefill
0.8,3689984878,2,1844992439.0,1844992439.0,1844849273,1845135605,202467.3,PushPop,:batch=c88207df67d24c4da42d45c8bcebc59c phase=prefill requests=04a26fdd847647a5a094bbafb63bc469
0.8,3673100295,2,1836550147.5,1836550147.5,1836238750,1836861545,440382.6,PushPop,:batch=04999e5db17646f381f8d12e5ba42b89 phase=prefill requests=f613ba29e5e3458d8e63b0275b98ac68
0.8,3662805532,2,1831402766.0,1831402766.0,1831185818,1831619714,306810.8,PushPop,:batch=1e7fcf524a0a4e98b5c9f0771b994b75 phase=prefill requests=612ab6a155ee43be83ea6696bd5b8b7f
0.8,3646518426,2,1823259213.0,1823259213.0,1823052019,1823466407,293016.6,PushPop,:batch=fec6ce2958354b9dad7bc35b9b7679d7 phase=prefill requests=5f8f2308efff494a9a6a2fa3d4ecc35c
0.8,3643102886,2,1821551443.0,1821551443.0,1820408633,1822694253,1616177.4,PushPop,:batch=67817480f9894f60bd669484733c604b phase=prefill requests=1811f6ebf58e4b0ea2292b35146cd35f
0.8,3540877194,126920,27898.5,26933.0,22187,1602184,7190.5,PushPop,NCCL:ncclAllReduce
0.5,2307688970,6680,345462.4,327801.0,262547,9470416,366757.9,PushPop,:enterprise_receive
0.5,2219159667,20,110957983.3,42270648.0,10443294,338584178,129756422.8,PushPop,:wan_upload_prefill
0.4,1728012892,20,86400644.6,42020277.0,10266883,243930957,88042760.2,PushPop,:wan_download_prefill
0.3,1202314072,40,30057851.8,18211476.0,5954612,78567523,28396012.0,PushPop,:enterprise_back_prefill
0.2,1017466941,40,25436673.5,14644242.0,4533934,68449726,23994199.4,PushPop,:enterprise_front_prefill
0.2,718803445,2,359401722.5,359401722.5,359157431,359646014,345480.4,PushPop,:batch=2218d27b6d73493383b5a51749d431ba phase=prefill requests=25de90a8b4234cdd9f459bf44de5f72b
0.2,705401326,2,352700663.0,352700663.0,352486977,352914349,302197.6,PushPop,:batch=9f9dabe46c194782b50f3bdc50726c97 phase=prefill requests=fd7f18ee548942ab846676d2fc7a354e
0.2,704953953,2,352476976.5,352476976.5,352242209,352711744,332011.4,PushPop,:batch=c24738ca850d4c5b8100104b46fc6e47 phase=prefill requests=e6255778e8534404ac5ca8451b4d8752
0.2,699506708,2,349753354.0,349753354.0,349556244,349950464,278755.6,PushPop,:batch=5e270a3fd858422d9d0df27ed5f169e7 phase=prefill requests=dfa53ed7b1db427c979733175e83eed5
0.2,695132835,2,347566417.5,347566417.5,347336279,347796556,325465.0,PushPop,:batch=3fa2b3b554a04cdfad39d804a0491f94 phase=prefill requests=b86f7835c80b433ab4e1c625067d0f3c
0.2,693929679,2,346964839.5,346964839.5,346721247,347208432,344491.8,PushPop,:batch=8a1c6d6e901047319a57f77f273a1e07 phase=prefill requests=7b15763fe2a348b4bded9b891807f3b3
0.2,692617874,2,346308937.0,346308937.0,346124296,346493578,261121.8,PushPop,:batch=80181fb8b78f46218763701f9599e99f phase=prefill requests=2b642560cfbc46a3b415e89ad3a03675
0.1,655511109,2,327755554.5,327755554.5,327558807,327952302,278243.0,PushPop,:batch=d6fc10f48c114fd291c2d6b76b7878ff phase=prefill requests=1b90b5029a8e4095a0953f707b492bc0
0.1,651496787,2,325748393.5,325748393.5,325479293,326017494,380565.6,PushPop,:batch=522b524891224a5aa5d236dc58624621 phase=prefill requests=b57ae4d5f220486d9e686230c8c5382e
0.1,630457954,2,315228977.0,315228977.0,315010652,315447302,308758.2,PushPop,:batch=948fcdf7e01042f8a0d311c1871c21d1 phase=prefill requests=1d3635c1d1b8417da02febe5bb56858c
0.1,549401285,2,274700642.5,274700642.5,274555957,274845328,204616.2,PushPop,:batch=134bedeb96eb45efaf9d95577f668857 phase=prefill requests=268bc1a668514718addc6aee590d0f20
0.1,384466497,13360,28777.4,30035.5,17960,346282,8088.1,PushPop,NCCL:ncclBroadcast
0.0,192092223,2,96046111.5,96046111.5,95825072,96267151,312597.1,PushPop,:batch=ecbc0f688cb94273a623d04cba579102 phase=prefill requests=4eba997a613d41f1b98e92a342465594
0.0,188787227,2,94393613.5,94393613.5,94230774,94556453,230289.8,PushPop,:batch=3fb2c359f19342018723f262ed7d94e1 phase=prefill requests=91919f5803e44b6faa967b57bddb81bd
0.0,188728032,2,94364016.0,94364016.0,94203247,94524785,227361.7,PushPop,:batch=74f586c7b8ae49938bd652fc322034b3 phase=prefill requests=2c91d8351bd845e18b1e6646cd0b5f4b
0.0,187427464,2,93713732.0,93713732.0,93489580,93937884,316998.8,PushPop,:batch=97a167334f914ce683895ddd16210452 phase=prefill requests=eef2914bac744c1ea29ede0988703e4c
0.0,149150142,6680,22327.9,21199.5,19330,455023,6140.9,PushPop,NCCL:ncclGroupEnd
0.0,142134764,3320,42811.7,33820.0,29176,17873639,323397.8,PushPop,:wan_download_decode
0.0,123389786,3320,37165.6,36852.5,30396,77282,5340.4,PushPop,:wan_upload_decode
0.0,114293181,2,57146590.5,57146590.5,56757922,57535259,549660.3,PushPop,":batch=bcc69acdb9404aeaa2698573c11c5396 phase=decode requests=1811f6ebf58e4b0ea2292b35146cd35f,612ab6a155ee43be83ea6696bd5b8b7f,04a26fdd847647a5a094bbafb63bc469,5f8f2308efff494a9a6a2fa3d4ecc35c"
0.0,95078587,2,47539293.5,47539293.5,47110702,47967885,606119.9,PushPop,":batch=1f57995116a24f35856362f0ac2863da phase=decode requests=dfa53ed7b1db427c979733175e83eed5,1b90b5029a8e4095a0953f707b492bc0,2b642560cfbc46a3b415e89ad3a03675,1d3635c1d1b8417da02febe5bb56858c"
0.0,94910842,2,47455421.0,47455421.0,47034815,47876027,594826.7,PushPop,":batch=1f5f757c47094bea945b481aa03a1eb3 phase=decode requests=dfa53ed7b1db427c979733175e83eed5,1b90b5029a8e4095a0953f707b492bc0,2b642560cfbc46a3b415e89ad3a03675,1d3635c1d1b8417da02febe5bb56858c"
0.0,92449709,2,46224854.5,46224854.5,45844378,46605331,538075.0,PushPop,":batch=755db9cada3a4e9db454a93ca1ce4dc8 phase=decode requests=fd7f18ee548942ab846676d2fc7a354e,7b15763fe2a348b4bded9b891807f3b3,b57ae4d5f220486d9e686230c8c5382e,b86f7835c80b433ab4e1c625067d0f3c"
0.0,92281753,2,46140876.5,46140876.5,45972304,46309449,238397.5,PushPop,:batch=25f360286e2b461a96834a901c7fd0e0 phase=decode requests=25de90a8b4234cdd9f459bf44de5f72b
0.0,90597565,2,45298782.5,45298782.5,45108227,45489338,269486.2,PushPop,:batch=92a3570c87ba45f9ae8f09f496ac652a phase=decode requests=25de90a8b4234cdd9f459bf44de5f72b
