Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
44.7,121638082540,6640,18318988.3,18290101.0,17518930,26742789,366382.2,PushPop,:cloud_middle_decode
3.5,9533233492,360720,26428.3,25772.0,21719,444710,3890.0,PushPop,NCCL:ncclAllReduce
2.5,6723777151,40,168094428.8,99266673.5,25892841,446707364,164823034.7,PushPop,:cloud_middle_prefill
0.9,2504997133,6680,374999.6,295932.5,224618,78347771,2147800.4,PushPop,:cloud_receive
0.4,1012264309,2,506132154.5,506132154.5,488562915,523701394,24846656.8,PushPop,:batch=d7f9855db4ea48f1a4af9d6222fdb9ac phase=prefill requests=46ac3b484ea545d181b2d3e8af73623f
0.4,1012251897,2,506125948.5,506125948.5,489292431,522959466,23806188.8,PushPop,:batch=fe1b353e5e3248719bfbe07e8fd172af phase=prefill requests=aaa729f093b64e2aaeeda0c4bda76f3d
0.4,1011728046,2,505864023.0,505864023.0,489055017,522673029,23771524.3,PushPop,:batch=485de98ec90746888f9b0aed79d4275d phase=prefill requests=7aa4ba8d31af45f58706a52eb0ad3328
0.4,1010282511,2,505141255.5,505141255.5,487614752,522667759,24786219.0,PushPop,:batch=3e78d3200b5b4f40a3e195464792ad21 phase=prefill requests=baabce1b18024e189120c512bc680496
0.4,1009347637,2,504673818.5,504673818.5,487030533,522317104,24951373.6,PushPop,:batch=88f5346e4b8e44e78ff0473005e918a0 phase=prefill requests=046f00cf0a7d4816a65a9b0acad7230b
0.1,380491654,13360,28479.9,30600.5,17719,347157,8116.6,PushPop,NCCL:ncclBroadcast
0.1,218689222,2,109344611.0,109344611.0,104784890,113904332,6448419.3,PushPop,:batch=459d7b3600f54d63b4360ef57ca78263 phase=prefill requests=4a33c149f9b84d849224830b7920cf8d
0.1,213877147,2,106938573.5,106938573.5,103434421,110442726,4955620.0,PushPop,:batch=2da78fcd54684dec9886fc5db809bb1e phase=prefill requests=c47f16e66de94d7ebc64adfc42386324
0.1,211627106,2,105813553.0,105813553.0,102728834,108898272,4362451.4,PushPop,:batch=5a2176705e6d4f18a42746290737f93c phase=prefill requests=8de7c5b04b184d1cbc3645195ef60a7d
0.1,211221425,2,105610712.5,105610712.5,102387595,108833830,4558176.5,PushPop,:batch=2e267e1c923c45ddab9465ea0c6084ee phase=prefill requests=422bf3769b9f45beb57c62f13989c6e8
0.1,210769755,2,105384877.5,105384877.5,105023084,105746671,511653.3,PushPop,:batch=2057d9317a5e46a7bc2119574476e9eb phase=prefill requests=83bc7c63016b44a7bb730cbd52015427
0.1,209828000,2,104914000.0,104914000.0,104788642,105039358,177283.0,PushPop,:batch=ec00300638fc4e9296a0422619dd66f5 phase=prefill requests=4911471bf69b4a0c8fcb7df27f4e64dd
0.1,208401407,2,104200703.5,104200703.5,103805463,104595944,558954.5,PushPop,:batch=47e920373526488eb918f63ec3d3e34f phase=prefill requests=bffdbdea72654f78bfa6ca4ccea58aeb
0.1,204655134,2,102327567.0,102327567.0,101948331,102706803,536320.7,PushPop,:batch=bb7fc784ca1c4c1b837be0ff9ae0b8d5 phase=prefill requests=399c9677f6e44195897e25ec5ce1daa1
0.1,203619575,2,101809787.5,101809787.5,101292724,102326851,731238.2,PushPop,:batch=1931ae798dc94798b6917ed61f293696 phase=prefill requests=a8d52d0acece4573abce53495dc615f9
0.1,202785519,2,101392759.5,101392759.5,100806834,101978685,828623.8,PushPop,:batch=9e6063d83ba944e0bc7cc4d83284849b phase=prefill requests=3255e14c8cb54f1cbdd701ebd201f7b8
0.0,75144525,2,37572262.5,37572262.5,37328692,37815833,344460.7,PushPop,:batch=ef4a80850d784ebc872f024b92ab6844 phase=prefill requests=1cf8552479e145fd966a17841209a06f
0.0,54946293,2,27473146.5,27473146.5,27382205,27564088,128610.7,PushPop,:batch=cfc24d0e2f7b40f0ab94377c7f1606ac phase=prefill requests=e4484b0df96d49f3a31426c909f9076d
0.0,54647445,2,27323722.5,27323722.5,27177056,27470389,207417.8,PushPop,:batch=be914c10f4fc460c912e5a9aa679df16 phase=prefill requests=3e2830bc65ab4913904d6e72090a4fe3
0.0,54345677,2,27172838.5,27172838.5,26910573,27435104,370899.4,PushPop,:batch=090db30e043743a08fce56afbad124ba phase=prefill requests=deac75ab269243019c9fd4ac2ecfc203
0.0,54337736,2,27168868.0,27168868.0,26908959,27428777,367566.8,PushPop,:batch=f94501c6251d46cabfc3e740d36a2989 phase=prefill requests=bb52284fe1f1457c8a63320a61ffabbf
0.0,54294119,2,27147059.5,27147059.5,26971768,27322351,247899.6,PushPop,":batch=822bfb8588cb402587fa7c4a3627d215 phase=decode requests=7aa4ba8d31af45f58706a52eb0ad3328,baabce1b18024e189120c512bc680496,046f00cf0a7d4816a65a9b0acad7230b,46ac3b484ea545d181b2d3e8af73623f"
0.0,43887725,2,21943862.5,21943862.5,21868927,22018798,105974.8,PushPop,:batch=e95cde0a9c384b2c84798d5066745ae3 phase=decode requests=1cf8552479e145fd966a17841209a06f
0.0,42501700,2,21250850.0,21250850.0,21236697,21265003,20015.4,PushPop,":batch=895b0412f2bc4544b5c73be95ba924f6 phase=decode requests=399c9677f6e44195897e25ec5ce1daa1,422bf3769b9f45beb57c62f13989c6e8,3255e14c8cb54f1cbdd701ebd201f7b8,a8d52d0acece4573abce53495dc615f9"
0.0,42268273,2,21134136.5,21134136.5,21113364,21154909,29376.8,PushPop,:batch=b8aa506c678948f7abc98eb7f4e34830 phase=decode requests=1cf8552479e145fd966a17841209a06f
0.0,42226166,2,21113083.0,21113083.0,21056219,21169947,80417.8,PushPop,:batch=0a988436be9b441fb69cfc241732e261 phase=decode requests=8de7c5b04b184d1cbc3645195ef60a7d
0.0,42177167,2,21088583.5,21088583.5,21062164,21115003,37362.8,PushPop,:batch=cbd067a875874a73b6e9b71235b2923f phase=decode requests=c47f16e66de94d7ebc64adfc42386324
0.0,42059699,2,21029849.5,21029849.5,21002880,21056819,38140.6,PushPop,:batch=5246f70534924ce0aa8920b755ccfee0 phase=decode requests=8de7c5b04b184d1cbc3645195ef60a7d
0.0,41364020,2,20682010.0,20682010.0,20657669,20706351,34423.4,PushPop,":batch=03aa241d2e8e4485b4bc4037d62699bc phase=decode requests=e4484b0df96d49f3a31426c909f9076d,bb52284fe1f1457c8a63320a61ffabbf,deac75ab269243019c9fd4ac2ecfc203,3e2830bc65ab4913904d6e72090a4fe3"
0.0,41191770,2,20595885.0,20595885.0,20575412,20616358,28953.2,PushPop,":batch=8011e4ee0fbe47108a2de82272e1ed78 phase=decode requests=4911471bf69b4a0c8fcb7df27f4e64dd,4a33c149f9b84d849224830b7920cf8d,83bc7c63016b44a7bb730cbd52015427,bffdbdea72654f78bfa6ca4ccea58aeb"
0.0,41097855,2,20548927.5,20548927.5,20524848,20573007,34053.6,PushPop,":batch=abb8cf7823a04e329bf3c5f77920124c phase=decode requests=7aa4ba8d31af45f58706a52eb0ad3328,baabce1b18024e189120c512bc680496,046f00cf0a7d4816a65a9b0acad7230b,46ac3b484ea545d181b2d3e8af73623f"
0.0,40924751,2,20462375.5,20462375.5,19441851,21482900,1443239.6,PushPop,":batch=a028b9ddc2f94506ac0b21eaee323c00 phase=decode requests=7aa4ba8d31af45f58706a52eb0ad3328,baabce1b18024e189120c512bc680496,046f00cf0a7d4816a65a9b0acad7230b,46ac3b484ea545d181b2d3e8af73623f"
