variant,profile_only,prefill_window,decode_window,chunk,duration_s,completed_qps,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,slo_attainment,start_cohort_slo_attainment,slo_pass,mean_first_front_wait_ms,mean_prefill_span_ms,mean_cloud_service_ms,prefill_chunks_per_s,all_requests_audited
confirm-p2-ch1024,False,2,2,1024,180.1884272749994,3.6128846332981133,2666.944315883301,2955.867714499618,50.994097166902115,54.000038410264004,0.9969278033794163,0.9969278033794163,True,2310.504210390185,355.89191530875576,61.558344375082854,14.412690311329033,699
confirm-p3-ch2048,False,3,2,2048,180.16535879000003,4.018530559161993,1503.3063648481293,1883.1316664284896,57.28839385759193,61.22695305598823,1.0,1.0,True,1014.9654453743753,487.7726704254144,115.52313788452659,8.02596020517713,772
p2-ch1024,False,2,2,1024,90.28004711500034,3.6663693759305005,2405.1780699818723,2716.2983510010235,53.053001068170694,55.822608289753795,1.0,1.0,True,2050.4375380846895,354.1805506072508,60.66534574222158,14.610094280520636,379
p3-ch1024,False,3,2,1024,90.14759855099692,3.8048711836285167,2207.868571277042,2408.5517414612696,52.639287284068715,55.08886572512636,1.0,1.0,True,1800.8439644316086,406.43561811661806,61.444807934979245,15.197298896708652,391
p3-ch2048,False,3,2,2048,90.19300419900173,3.991440391603948,1749.709796486099,2034.2412421681372,54.6027069611475,62.271178767812394,1.0,1.0,True,1257.585744560955,491.5776584027778,116.85239023262427,7.960706114365651,408
p4-ch1024,False,4,2,1024,90.15051152200249,3.804748239462691,2170.9008018162854,2377.553748059799,53.16764134903242,55.83703558179527,1.0,1.0,True,1710.5894243906064,459.7976757463557,61.6550136669489,15.218992957850764,391
profile-p2-ch1024,True,2,2,1024,20.25119783899936,3.6541048380601096,2507.392402540358,2774.4587474891523,52.25424945045319,54.030469658469556,1.0,1.0,True,2166.6284456486637,340.19838648648647,60.04314585138362,14.616419352240438,122
