variant,requests,completed_qps,slo_attainment,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_first_second_ms,p99_first_second_ms,p99_token_itl_ms,p99_max_itl_ms
old_p1d2,166,2.7653685722859063,1.0,2117.883808457765,2230.186691399922,47.02263041612644,50.22618685386241,157.19738948196922,201.75227334993906,139.63416086970037,201.75227334993906
old_p2d1,214,3.5535457776369057,1.0,509.05302887381833,674.6491004210112,51.17698450023901,53.47185922538628,75.78116203732063,145.13379254982283,75.20827270882364,261.27240522870125
notify_only,215,3.568735969209844,1.0,504.33470597211476,560.8398126799148,50.95577462152597,52.378013948456584,49.94861878133866,80.28038978038236,66.9809825302764,146.73501272001886
chunk_transfer,214,3.553400132376367,1.0,521.3103336728832,650.2926826600014,50.978625497484295,52.68849896793887,47.40734834114132,63.65390798982845,71.48152005003794,159.08968181078308
chunk_p1d2,163,2.715703595568997,1.0,2264.675215539906,2377.700487220318,46.440433150698986,48.46549034666448,57.09525235587161,113.97251233978747,65.34248648997153,125.2712070803318
