Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
20.3,84173299139,3320,25353403.4,25405856.0,24734890,33663804,547232.2,PushPop,:cloud_and_wan_wait_decode
7.1,29321569850,6640,4415899.1,4381120.5,4206994,9016597,215114.4,PushPop,:enterprise_back_decode
5.2,21781172829,6640,3280297.1,3249437.0,3074854,5729155,146235.0,PushPop,:enterprise_front_decode
2.1,8784324953,20,439216247.6,237412736.0,59249880,1229994375,469026855.2,PushPop,:cloud_and_wan_wait_prefill
1.0,4322730943,2,2161365471.5,2161365471.5,2161070710,2161660233,416855.7,PushPop,:batch=bb82423d40a24d61be72c648349a0cef phase=prefill requests=2f6c8d07d5254b3bbd541a92b8991e0c
1.0,4264862098,2,2132431049.0,2132431049.0,2131611785,2133250313,1158614.3,PushPop,:batch=aab9e5b814474bb98d70afba82c4aa67 phase=prefill requests=27a46174d58b41ae88fc7ab1bc430726
1.0,4254222785,2,2127111392.5,2127111392.5,2126845408,2127377377,376158.9,PushPop,:batch=1a343eab9b0046d8a5a4fa302f92ff7e phase=prefill requests=c32ea2e6dfe246c7b1d1bcd75bdf1352
1.0,4229624109,2,2114812054.5,2114812054.5,2114581178,2115042931,326508.7,PushPop,:batch=8eefbdfaf86d4d56918cabce00da36c8 phase=prefill requests=a6c55e2fb57a42fcad95f0f0ed13fb67
1.0,4226474005,2,2113237002.5,2113237002.5,2112937530,2113536475,423518.1,PushPop,:batch=8e9c8d4e5de3402d91ecca520a0b58a3 phase=prefill requests=289772dec3794c42ba39f95aab480cf0
0.8,3527868892,126920,27796.0,26929.0,22719,1050196,5512.5,PushPop,NCCL:ncclAllReduce
0.6,2298484171,20,114924208.5,51057635.5,10363668,365752809,133556677.8,PushPop,:wan_upload_prefill
0.5,2223701378,6680,332889.4,316759.0,255797,9128457,359434.7,PushPop,:enterprise_receive
0.4,1780575429,20,89028771.5,42014806.0,10238681,254443751,92572395.8,PushPop,:wan_download_prefill
0.3,1215100192,40,30377504.8,18251523.5,6020744,79383432,28814730.0,PushPop,:enterprise_back_prefill
0.2,1023573752,40,25589343.8,14738600.5,4534718,68472814,24151172.6,PushPop,:enterprise_front_prefill
0.2,845631206,2,422815603.0,422815603.0,422635148,422996058,255201.9,PushPop,:batch=d67ea723ccb64b5ea1175ac91f0b0f33 phase=prefill requests=1f20454d5b254aab91e0c16e39a9468c
0.2,820089097,2,410044548.5,410044548.5,409840955,410248142,287924.7,PushPop,:batch=87843695880e4efd83dc77dbf2a2b1c8 phase=prefill requests=4476c834d2c74939a2137fc12011cce6
0.2,807389177,2,403694588.5,403694588.5,403463209,403925968,327220.0,PushPop,:batch=0caf82911f904fabafc740a6f1c9b379 phase=prefill requests=c49893a76af642e1a167f5b144aaaf70
0.2,797907648,2,398953824.0,398953824.0,398729172,399178476,317705.9,PushPop,:batch=39afbbd12a3246bface49e0dbaae44fc phase=prefill requests=b39ea7d952b145c49e6a60c3a2118d53
0.2,794744062,2,397372031.0,397372031.0,397159198,397584864,300991.3,PushPop,:batch=3af32c5e06854caaa54ea32dd89473de phase=prefill requests=cd5fecee34f948638c647990ec91030b
