Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.6,7112599202,126920,56040.0,10464.0,7584,4531410,117953.7,ncclDevKernel_AllReduce_Sum_f16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
21.0,5610646160,59760,93886.3,93920.0,92928,96480,466.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x1_tn_align8>(T1::Params)
8.0,2137104710,3360,636043.1,635935.0,633890,653151,1201.1,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_64x6_tn_align8>(T1::Params)
7.8,2091314406,3320,629914.0,629859.0,628130,632639,572.6,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
6.4,1719965031,29880,57562.4,57567.0,56960,61855,182.9,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_tn
6.2,1656694512,29880,55444.9,55424.0,54848,59616,251.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
3.4,918286006,59760,15366.2,14656.0,7840,46016,8239.6,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)"
2.0,539374979,13360,40372.4,7872.0,4992,4563634,134408.6,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
1.8,479955862,29880,16062.8,16000.0,15616,21536,282.6,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x6_tn
1.8,472687733,270,1750695.3,579904.5,481026,4970777,1718450.8,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)
1.6,420402882,29880,14069.7,14048.0,13568,15776,234.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
1.5,407492962,120240,3389.0,2720.0,2495,279488,11155.0,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::Half, (int)8>(T1 *, long, T1 *, const T1 *, float, int, int)"
1.4,383315740,29880,12828.5,12768.0,12448,16640,272.0,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1.3,346668073,29880,11602.0,11520.0,11072,14048,343.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Params)
1.2,324487855,46008,7052.9,6976.0,6176,8448,421.2,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (int)4, (int)5, (bool)1>(flash::Flash_fwd_params)"
1.2,309545302,60120,5148.8,3776.0,3488,632735,24191.5,"void vllm::act_and_mul_kernel<c10::Half, &vllm::silu_kernel<c10::Half>, (bool)1>(T1 *, const T1 *, int)"
1.1,304421957,720,422808.3,292832.5,99520,1033502,360451.4,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize160x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel__5x_cublas
1.0,259667689,6680,38872.4,44944.5,20992,740159,20870.1,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
