depth,current_prompt_mlp_token_accuracy_mean,current_prompt_mlp_token_accuracy_min,current_prompt_mlp_token_accuracy_max,current_prompt_mlp_macro_token_type_accuracy_mean,current_prompt_mlp_macro_token_type_accuracy_min,current_prompt_mlp_macro_token_type_accuracy_max,current_prompt_mlp_training_seen_token_accuracy_mean,current_prompt_mlp_training_seen_token_accuracy_min,current_prompt_mlp_training_seen_token_accuracy_max,current_prompt_cosine_token_accuracy_mean,current_prompt_cosine_token_accuracy_min,current_prompt_cosine_token_accuracy_max,current_prompt_cosine_macro_token_type_accuracy_mean,current_prompt_cosine_macro_token_type_accuracy_min,current_prompt_cosine_macro_token_type_accuracy_max,current_prompt_cosine_training_seen_token_accuracy_mean,current_prompt_cosine_training_seen_token_accuracy_min,current_prompt_cosine_training_seen_token_accuracy_max,current_output_inputs_mlp_token_accuracy_mean,current_output_inputs_mlp_token_accuracy_min,current_output_inputs_mlp_token_accuracy_max,current_output_inputs_mlp_macro_token_type_accuracy_mean,current_output_inputs_mlp_macro_token_type_accuracy_min,current_output_inputs_mlp_macro_token_type_accuracy_max,current_output_inputs_mlp_training_seen_token_accuracy_mean,current_output_inputs_mlp_training_seen_token_accuracy_min,current_output_inputs_mlp_training_seen_token_accuracy_max,current_output_inputs_cosine_token_accuracy_mean,current_output_inputs_cosine_token_accuracy_min,current_output_inputs_cosine_token_accuracy_max,current_output_inputs_cosine_macro_token_type_accuracy_mean,current_output_inputs_cosine_macro_token_type_accuracy_min,current_output_inputs_cosine_macro_token_type_accuracy_max,current_output_inputs_cosine_training_seen_token_accuracy_mean,current_output_inputs_cosine_training_seen_token_accuracy_min,current_output_inputs_cosine_training_seen_token_accuracy_max,public_test_mlp_token_accuracy_mean,public_test_mlp_token_accuracy_min,public_test_mlp_token_accuracy_max,public_test_mlp_macro_token_type_accuracy_mean,public_test_mlp_macro_token_type_accuracy_min,public_test_mlp_macro_token_type_accuracy_max,public_test_mlp_training_seen_token_accuracy_mean,public_test_mlp_training_seen_token_accuracy_min,public_test_mlp_training_seen_token_accuracy_max,public_test_cosine_token_accuracy_mean,public_test_cosine_token_accuracy_min,public_test_cosine_token_accuracy_max,public_test_cosine_macro_token_type_accuracy_mean,public_test_cosine_macro_token_type_accuracy_min,public_test_cosine_macro_token_type_accuracy_max,public_test_cosine_training_seen_token_accuracy_mean,public_test_cosine_training_seen_token_accuracy_min,public_test_cosine_training_seen_token_accuracy_max
4,0.539794921875,0.52978515625,0.5498046875,0.6109213250517598,0.6087991718426501,0.6130434782608696,0.6864327848494256,0.6737038186898479,0.6991617510090035,0.1357421875,0.1357421875,0.1357421875,0.09373755535082766,0.09373755535082766,0.09373755535082766,0.10648866811549208,0.10648866811549208,0.10648866811549208,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.7719298245614035,0.7719298245614035,0.7719298245614035,0.9402985074626866,0.9402985074626866,0.9402985074626866,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.04477611940298507,0.04477611940298507,0.04477611940298507,0.82708740234375,0.8260498046875,0.828125,0.603146101903008,0.6023020257826888,0.6039901780233271,0.9820988549065082,0.9808667922887375,0.9833309175242789,0.0224609375,0.0224609375,0.0224609375,0.039894312350657206,0.039894312350657206,0.039894312350657206,0.019713001884331064,0.019713001884331064,0.019713001884331064
9,0.404052734375,0.38134765625,0.4267578125,0.5615168108017078,0.5574536638037781,0.5655799577996374,0.5138155852219808,0.48494256442098727,0.5426886060229742,0.080810546875,0.080810546875,0.080810546875,0.02800231804808464,0.02800231804808464,0.02800231804808464,0.037565973300217326,0.037565973300217326,0.037565973300217326,0.7243589743589745,0.7051282051282052,0.7435897435897436,0.7236842105263158,0.7192982456140351,0.7280701754385965,0.8432835820895522,0.8208955223880597,0.8656716417910447,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.799560546875,0.7994384765625,0.7996826171875,0.5499726680113419,0.5491987123271653,0.5507466236955186,0.9494129583997681,0.949268009856501,0.9495579069430352,0.0150146484375,0.0150146484375,0.0150146484375,0.02978648529516928,0.02978648529516928,0.02978648529516928,0.014784751413248297,0.014784751413248297,0.014784751413248297
18,0.23828125,0.20263671875,0.27392578125,0.5108446759190466,0.5021746560076079,0.5195146958304854,0.30301148711580256,0.2576839490841354,0.3483390251474697,0.000244140625,0.000244140625,0.000244140625,5.200748907842729e-05,5.200748907842729e-05,5.200748907842729e-05,0.0003104625892579944,0.0003104625892579944,0.0003104625892579944,0.7051282051282051,0.6794871794871795,0.7307692307692307,0.6608187134502924,0.6403508771929824,0.6812865497076024,0.8208955223880596,0.7910447761194029,0.8507462686567164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76025390625,0.7601318359375,0.7603759765625,0.4838236224567496,0.477858923756381,0.4897883211571181,0.902739527467749,0.9025945789244818,0.9028844760110161,0.00439453125,0.00439453125,0.00439453125,0.00505750757945904,0.00505750757945904,0.00505750757945904,0.005073199014349905,0.005073199014349905,0.005073199014349905
27,0.2078857421875,0.192138671875,0.2236328125,0.4839855320118478,0.4833442301405688,0.4846268338831268,0.26435889475318225,0.2443340577460416,0.2843837317603229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615385,0.5256410256410257,0.5512820512820513,0.4809941520467836,0.45614035087719296,0.5058479532163742,0.6268656716417911,0.6119402985074627,0.6417910447761194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7542724609375,0.7501220703125,0.7584228515625,0.474843215499969,0.4719792235854036,0.4777072074145343,0.895637048847659,0.8907087983765763,0.9005652993187419,0.0029296875,0.0029296875,0.0029296875,0.005093995471116624,0.005093995471116624,0.005093995471116624,0.003188867951877084,0.003188867951877084,0.003188867951877084
36,0.095947265625,0.079345703125,0.112548828125,0.25127727916629516,0.2507427164749819,0.25181184185760846,0.12201179757839181,0.10090034150884819,0.14312325364793543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3141025641025641,0.2948717948717949,0.3333333333333333,0.2800751879699248,0.2644110275689223,0.2957393483709273,0.3656716417910448,0.34328358208955223,0.3880597014925373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60333251953125,0.6026611328125,0.60400390625,0.23977427741097712,0.23726978730297474,0.2422787675189795,0.7164081750978403,0.715610958109871,0.7172053920858096,0.01806640625,0.01806640625,0.01806640625,0.0009597701095230549,0.0009597701095230549,0.0009597701095230549,0.021017538773735325,0.021017538773735325,0.021017538773735325
