Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.0,39378164,1,39378164.0,39378164.0,39378164,39378164,0.0,PushPop,":batch=c3ee250ba3834f6bbbc937c0fbaf6ac4 phase=decode requests=02c18ca4fa9a4e78976ace85a268a23c,f0ba9eeb02cc4e319c31826e4b9e36c7,3fecad5f11024da9a9f4bfe463bd1304,f2963a755062429492336a27fdc3ceba"
0.0,39311939,1,39311939.0,39311939.0,39311939,39311939,0.0,PushPop,:batch=32eb0991c41246268a9d2c36af33a4e9 phase=decode requests=9b9bd82b962346698bf6968601911458
0.0,39142835,1,39142835.0,39142835.0,39142835,39142835,0.0,PushPop,":batch=e67a3a841bd04c3abcf944f55a0d716b phase=decode requests=02c18ca4fa9a4e78976ace85a268a23c,f0ba9eeb02cc4e319c31826e4b9e36c7,3fecad5f11024da9a9f4bfe463bd1304,f2963a755062429492336a27fdc3ceba"
0.0,39002449,1,39002449.0,39002449.0,39002449,39002449,0.0,PushPop,":batch=1c2c94fb800a41d39e756afac7abe897 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,38042381,1,38042381.0,38042381.0,38042381,38042381,0.0,PushPop,:batch=11dd90d4b18148f082e07fd0092740a4 phase=decode requests=9b9bd82b962346698bf6968601911458
0.0,37853704,1,37853704.0,37853704.0,37853704,37853704,0.0,PushPop,":batch=236e711964754dbf85495465e9db82b6 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,37329678,1,37329678.0,37329678.0,37329678,37329678,0.0,PushPop,":batch=e323573a3fdb46f9a9d2a11b3c608325 phase=decode requests=02c18ca4fa9a4e78976ace85a268a23c,f0ba9eeb02cc4e319c31826e4b9e36c7,3fecad5f11024da9a9f4bfe463bd1304,f2963a755062429492336a27fdc3ceba"
0.0,36998348,1,36998348.0,36998348.0,36998348,36998348,0.0,PushPop,":batch=0cd411defce14c67bbb92f37bbdf34cb phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,36958345,1,36958345.0,36958345.0,36958345,36958345,0.0,PushPop,":batch=7b558a733a0d440ca6be76234e7c7981 phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,36791809,1,36791809.0,36791809.0,36791809,36791809,0.0,PushPop,":batch=2fc78ebdf68c495aba01b183d211511b phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,36766204,1,36766204.0,36766204.0,36766204,36766204,0.0,PushPop,":batch=f01fed7bdcf54e08ad45b584abbfb498 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,36761131,1,36761131.0,36761131.0,36761131,36761131,0.0,PushPop,":batch=3115d93c30a64a5eb8942591c2845f3c phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,36714546,1,36714546.0,36714546.0,36714546,36714546,0.0,PushPop,":batch=d860290a130845609e6fb5f1c54d08b0 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,36659229,1,36659229.0,36659229.0,36659229,36659229,0.0,PushPop,":batch=811abe64cd954be497b2f6517cb5ccfe phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,36625500,1,36625500.0,36625500.0,36625500,36625500,0.0,PushPop,":batch=7fea9fc2fe9843cfa0a67adff85f881f phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,36567658,1,36567658.0,36567658.0,36567658,36567658,0.0,PushPop,":batch=1ea4b170ede0456ca39fa4c94e3f40dc phase=decode requests=02c18ca4fa9a4e78976ace85a268a23c,f0ba9eeb02cc4e319c31826e4b9e36c7,3fecad5f11024da9a9f4bfe463bd1304,f2963a755062429492336a27fdc3ceba"
0.0,36394039,1,36394039.0,36394039.0,36394039,36394039,0.0,PushPop,:batch=3c3ecf0403a84ad5a0e4a13bf6b0aea7 phase=decode requests=01fc6543d43c4d75a43f86af9f34816d
0.0,36350051,1,36350051.0,36350051.0,36350051,36350051,0.0,PushPop,":batch=2daba2e06f0b46b9a8da051ce5c0a275 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,36335994,1,36335994.0,36335994.0,36335994,36335994,0.0,PushPop,:batch=1961f2329a92400eadb9aa1ed133838c phase=decode requests=b4e0239eac314a4889c1d16d6bae5c25
0.0,36323742,1,36323742.0,36323742.0,36323742,36323742,0.0,PushPop,":batch=2170a4a9bd084db6893709f00426cfa6 phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,36241035,1,36241035.0,36241035.0,36241035,36241035,0.0,PushPop,":batch=6bcd14ee081546e9ba23390014501e61 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,36228107,1,36228107.0,36228107.0,36228107,36228107,0.0,PushPop,":batch=0b8ee4c25bbf43ca885830938525b035 phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,36182382,1,36182382.0,36182382.0,36182382,36182382,0.0,PushPop,":batch=81053c7bc143411dae0f1315b4315174 phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,36179281,1,36179281.0,36179281.0,36179281,36179281,0.0,PushPop,":batch=ef2a09c680884e83a45d884e7c50e5b7 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,36095394,1,36095394.0,36095394.0,36095394,36095394,0.0,PushPop,":batch=d85855b88f8b46ffae3026c4557d0dd1 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,36053634,1,36053634.0,36053634.0,36053634,36053634,0.0,PushPop,":batch=11db2c5c3c444a27952663d375d97ca7 phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,35959749,1,35959749.0,35959749.0,35959749,35959749,0.0,PushPop,:batch=3862c71bfed14042bee80b896bd291ab phase=decode requests=01fc6543d43c4d75a43f86af9f34816d
0.0,35926480,1,35926480.0,35926480.0,35926480,35926480,0.0,PushPop,:batch=298d0f984aac4429be7e008c078b4c86 phase=decode requests=13cb0b4b6523472b9c7dbfb336306fcb
0.0,35909829,1,35909829.0,35909829.0,35909829,35909829,0.0,PushPop,":batch=bf2026b87c93428d8637cfd7ebebbdf6 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35863374,1,35863374.0,35863374.0,35863374,35863374,0.0,PushPop,":batch=80f7432d40024b6399edf1406b6030fd phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35839077,1,35839077.0,35839077.0,35839077,35839077,0.0,PushPop,":batch=42136f1b58624cf4bccae0166f1e20ee phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35832049,1,35832049.0,35832049.0,35832049,35832049,0.0,PushPop,":batch=cf06a57fe3bd455d911f964178c83185 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35817671,1,35817671.0,35817671.0,35817671,35817671,0.0,PushPop,":batch=4735f7b00d7d4b408a1db9c91d386341 phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,35755451,1,35755451.0,35755451.0,35755451,35755451,0.0,PushPop,":batch=079d9e361e0c418daac86276e826566f phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,35719592,1,35719592.0,35719592.0,35719592,35719592,0.0,PushPop,":batch=c87e9d7483e544bb91299306208e84c4 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35678236,1,35678236.0,35678236.0,35678236,35678236,0.0,PushPop,":batch=c548769de14c48a5b14d32d3a821b966 phase=decode requests=02c18ca4fa9a4e78976ace85a268a23c,f0ba9eeb02cc4e319c31826e4b9e36c7,3fecad5f11024da9a9f4bfe463bd1304,f2963a755062429492336a27fdc3ceba"
0.0,35667732,1,35667732.0,35667732.0,35667732,35667732,0.0,PushPop,":batch=96479ccc74d540a1b1752e1185500a3f phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,35629959,1,35629959.0,35629959.0,35629959,35629959,0.0,PushPop,":batch=57c850f6364b40faa89fa410816fc292 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35597040,1,35597040.0,35597040.0,35597040,35597040,0.0,PushPop,":batch=981d4e768db24af5a11ea5010277a614 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35594362,1,35594362.0,35594362.0,35594362,35594362,0.0,PushPop,":batch=3a1a1b0dd4174e27863b883d692c7878 phase=decode requests=02c18ca4fa9a4e78976ace85a268a23c,f0ba9eeb02cc4e319c31826e4b9e36c7,3fecad5f11024da9a9f4bfe463bd1304,f2963a755062429492336a27fdc3ceba"
0.0,35526132,1,35526132.0,35526132.0,35526132,35526132,0.0,PushPop,":batch=aef0abc58af2491688e8c3e90acdef2a phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35505624,1,35505624.0,35505624.0,35505624,35505624,0.0,PushPop,":batch=06f1aa92fb9e4673b92a1a7270f1c31a phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,35495229,1,35495229.0,35495229.0,35495229,35495229,0.0,PushPop,":batch=e9100fd587e744b3a39ec48cd785c44b phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,35481191,1,35481191.0,35481191.0,35481191,35481191,0.0,PushPop,":batch=dd5937fda0a8484aa38d252ebf0979ea phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
