Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
27.5,4977682259,16620,299499.5,189151.0,187711,1289629,329104.1,"void gemv2T_kernel_val<int, int, __half, __half, __half, float, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13, T6, T6)"
17.3,3138742286,14940,210089.8,210112.0,207424,222592,916.5,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_tn_align8>(T1::Params)
11.7,2114393746,1660,1273731.2,1273662.0,1270333,1281053,1361.8,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x6_tn
10.6,1914037250,29880,64057.5,65600.0,21824,115744,41475.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
8.9,1605247571,14940,107446.3,107487.0,105343,115007,621.8,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_tn
4.1,750981068,225,3337693.6,2007579.0,814270,12395398,3564176.9,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)
3.8,691349008,29880,23137.5,23264.0,8288,79679,16496.7,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)"
2.3,408792017,14940,27362.3,27008.0,26432,31936,1043.3,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x6_tn
2.0,366971864,14940,24563.0,24415.0,23967,28032,473.9,"void gemv2T_kernel_val<int, int, __half, __half, __half, float, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)1, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13, T6, T6)"
1.8,317653892,14940,21262.0,21248.0,20224,23488,347.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Params)
1.5,278821857,30060,9275.5,7392.0,5120,1285246,49320.4,"void vllm::act_and_mul_kernel<c10::Half, &vllm::silu_kernel<c10::Half>, (bool)1>(T1 *, const T1 *, int)"
