variant,concurrency,prefill_replicas,prefill_tp,requests,duration_s,completed_qps,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,slo_attainment,start_cohort_slo_attainment,slo_pass,p99_token_itl_ms,mean_first_second_ms,p99_first_second_ms,all_requests_audited,raw_directory
performance-replicas,24,2,1,375,90.08149938000133,4.162896960874215,842.5895693680212,1199.987105339678,62.821773017367846,66.76156285591554,1.0,1.0,True,140.44491953929528,92.15841793598763,248.18811025972533,423,/root/issue6-pd-replicas/results/pd_replicas_v2/performance-replicas
performance-tp2,24,1,2,361,90.1634797120023,4.0038383739524726,1521.1987874018453,1930.8875366012214,57.31306533134229,63.80387567177165,1.0,1.0,True,94.11197316065227,64.80305509121486,147.98629520155367,409,/root/issue6-pd-replicas/results/pd_replicas_v2/performance-tp2
c40-performance-replicas,40,2,1,465,90.09436863099836,5.161254882694295,793.9129978795918,1353.165728479799,89.28181027438531,93.8363697543462,1.0,1.0,True,158.06840692050156,103.31213270537481,260.0265088795278,545,/root/issue6-pd-replicas/results/pd_replicas/c40-performance-replicas
c40-performance-tp2,40,1,2,366,90.04964083400046,4.0644248728841985,5441.20954789074,5950.289475000682,56.80994933357838,62.70727695000693,0.0,0.0,False,95.42484415978834,63.34936000556277,136.49932109929068,446,/root/issue6-pd-replicas/results/pd_replicas/c40-performance-tp2
